t_s,h1_meas_m,h1_est_m,h2_est_m,h2_real_m,error_obs_cm,h3_meas_m,h3_est_m,ref_m,u1,u3,z_int,error_ctrl_cm
380.0,0.2123,0.21365731567005888,0.19849054609349573,0.2121,-1.360945390650428,0.2134,0.20374164931011438,0.2,0.18220842622150793,0.013408997499083954,0.00871218732716679,-0.15094539065042822
382.0,0.219,0.21576418273536413,0.20139297560165229,0.2121,-1.0707024398347724,0.2134,0.2050163379938827,0.2,0.08257963297499667,0.01442514737724469,0.005926236123862241,0.13929756016522743
384.0,0.2088,0.210343052116552,0.2027621778922377,0.2121,-0.9337822107762322,0.2201,0.20719185380421531,0.2,0.04208236214586284,0.01446046928239984,0.00040188033938688694,0.2762177892237677
386.0,0.2123,0.20629712048729665,0.20346048869944547,0.2153,-1.1839511300554522,0.2134,0.2075477876437384,0.2,0.21499580516012604,0.026417314096375048,-0.006519097059504028,0.34604886994454576
388.0,0.2054,0.20176984402112705,0.20220551792144686,0.2085,-0.6294482078553126,0.2066,0.2061368226324166,0.2,0.5416576913600023,0.043814292477526454,-0.010930132902397735,0.22055179214468534
390.0,0.1987,0.19968221342918202,0.19945109356597385,0.2019,-0.2448906434026149,0.2,0.20348837746598605,0.2,0.6015866559561004,0.04101358782503474,-0.009832320034345407,-0.0548906434026164
392.0,0.2054,0.20401372286008398,0.1983848195693844,0.2087,-1.0315180430615607,0.2034,0.20256018048800492,0.2,0.7352309646405781,0.0477160347171403,-0.006601959173114166,-0.16151804306156203
394.0,0.2021,0.20678498406692125,0.19698675460284198,0.2085,-1.1513245397158007,0.1968,0.20006525618751614,0.2,0.7066390198783387,0.043152198547128665,-0.0005754683787981135,-0.30132453971580264
396.0,0.2054,0.21110399771739352,0.19704628235282984,0.2121,-1.5053717647170173,0.2034,0.19982948939233217,0.2,0.2839871729043993,0.016783441521897192,0.005331966915542233,-0.2953717647170173
398.0,0.219,0.2165310105295176,0.20025521892518547,0.2153,-1.5044781074814524,0.2167,0.20294723943388507,0.2,1.1346478950963975e-05,0.0005292110545645869,0.004821529065171318,0.025521892518545752
400.0,0.219,0.21440951033471314,0.20338730351574866,0.2121,-0.8712696484251353,0.2201,0.2058471701049295,0.2,1.5356919477174297e-05,0.0008740413563307738,-0.001953077966325975,0.33873035157486464
402.0,0.2123,0.20794446662146512,0.20420102351809136,0.2153,-1.1098976481908633,0.2134,0.20630930753557836,0.2,0.035135327425983645,0.014950842167074877,-0.010355125002508667,0.4201023518091346
404.0,0.2054,0.2025513249089865,0.2035131851384091,0.2087,-0.5186814861590894,0.2167,0.20733868759098262,0.2,0.4007735530996811,0.038332694762270254,-0.015,0.3513185138409092
406.0,0.1952,0.19729428750544953,0.20065319505218596,0.2121,-1.1446804947814053,0.21,0.20648472059539053,0.2,0.5847689409680077,0.04292471050602228,-0.015,0.06531950521859453
408.0,0.2021,0.1999731841263547,0.19863389990937408,0.2051,-0.6466100090625926,0.2034,0.20465009595467074,0.2,0.6490348569854174,0.04279568625498495,-0.012267799818748135,-0.13661000906259324
410.0,0.2021,0.20408735688190702,0.1975208730976667,0.2085,-1.0979126902333296,0.2066,0.20389589836251676,0.2,0.5528662853213445,0.03507438702195533,-0.0073095460140815,-0.24791269023333173
412.0,0.2054,0.20829733157780297,0.1979332102932551,0.2121,-1.4166789706744898,0.2134,0.20485020318244831,0.2,0.37991174445241405,0.025849654743289922,-0.0031759666005917037,-0.20667897067448981
414.0,0.2088,0.21045107810096758,0.19930516987817465,0.2153,-1.5994830121825343,0.2168,0.20629706516077462,0.2,0.2570473219057831,0.021597533381505035,-0.0017863063569409782,-0.06948301218253627
416.0,0.2123,0.21021600526544368,0.20058290784109248,0.2155,-1.491709215890752,0.21,0.20586534968975084,0.2,0.3227606731635497,0.028380636935551193,-0.0029521220391259123,0.05829078410924671
418.0,0.2021,0.20643876790948615,0.20049029819984585,0.2051,-0.4609701800154159,0.2167,0.20686438116868594,0.2,0.31712608098820655,0.027026712508270302,-0.003932718438817581,0.049029819984583445
420.0,0.2088,0.20623842633892728,0.20065607788191323,0.2121,-1.1443922118086785,0.21,0.20637140615700192,0.2,0.4945402197283142,0.03825495768904479,-0.005244874202644009,0.0656077881913214
422.0,0.2021,0.2045982103151292,0.1993360722181979,0.2051,-0.5763927781802097,0.2034,0.2042873581016407,0.2,0.7378133773095905,0.05017027475353011,-0.0039170186390398015,-0.06639277818021039
424.0,0.1952,0.2044380477096382,0.19738939856021132,0.1985,-0.11106014397886943,0.2066,0.20338830300857944,0.2,0.858277262870534,0.052797825073690734,0.0013041842405375897,-0.26106014397886956
426.0,0.2021,0.20884250291300768,0.19623753605618804,0.2087,-1.2462463943811952,0.1968,0.20065174544348907,0.2,0.5658198430778895,0.03155126995454406,0.008829112128161523,-0.37624639438119667
428.0,0.2123,0.21567490454198435,0.1982581081450277,0.2087,-1.0441891854972296,0.2134,0.20265572462328682,0.2,0.2670690987049949,0.018090605116849207,0.012312895838106144,-0.17418918549723106
430.0,0.2156,0.21684755741134046,0.20082508154905976,0.2121,-1.1274918450940252,0.2134,0.2040171298077364,0.2,0.1488295320976353,0.01684232172823084,0.01066273273998665,0.08250815490597474
432.0,0.2088,0.21227684480364464,0.2023531299617168,0.2087,-0.6346870038283187,0.2201,0.2063897467254764,0.2,0.08679902227113548,0.015786189393622852,0.005956472816553052,0.2353129961716799
434.0,0.2123,0.2085073737852495,0.20324347251253366,0.2153,-1.2056527487466329,0.2134,0.20686751881282225,0.2,0.15318398705301056,0.021450410934568873,-0.0005304722085142516,0.32434725125336517
436.0,0.2054,0.20395555164690649,0.2028405656549351,0.2085,-0.5659434345064884,0.2167,0.20787496490420088,0.2,0.20231375481037647,0.023414097173950685,-0.006211603518384443,0.28405656549350955
438.0,0.2088,0.20255476479852622,0.2022357404076864,0.2121,-0.9864259592313601,0.21,0.20724767446742481,0.2,0.4208244455573204,0.03618151375775985,-0.01068308433375724,0.22357404076863985
440.0,0.2021,0.20083887317241095,0.20024245433805085,0.2051,-0.4857545661949153,0.2034,0.20505152392049414,0.2,0.7799901665928407,0.05455943026024756,-0.01116799300985892,0.024245433805084038
442.0,0.1952,0.20101777404418225,0.1971230867931403,0.1985,-0.13769132068597034,0.1968,0.20175089623316084,0.2,0.8601517591466458,0.05229488214129075,-0.005414166596139511,-0.2876913206859705
444.0,0.2021,0.20728714046803726,0.19597368786479316,0.2085,-1.252631213520683,0.2,0.20028473319802048,0.2,0.5558924240183281,0.030862717489638914,0.002638457674274189,-0.402631213520685
446.0,0.2123,0.2147029398731015,0.1979416487251959,0.2087,-1.0758351274804094,0.2134,0.20236117067809356,0.2,0.25553997927963557,0.017566848898962265,0.006755160223882409,-0.205835127480411
448.0,0.2156,0.21609002264875024,0.20051734647974143,0.2085,-0.7982653520258565,0.2134,0.2037649867954289,0.2,8.382225579492376e-05,0.0035707831354875484,0.0057204672643995785,0.05173464797414151
450.0,0.219,0.21376541787466968,0.20331885805127642,0.2087,-0.5381141948723578,0.2168,0.20569821909088598,0.2,0.03899154795673369,0.015360786593441273,-0.0009172488381532368,0.33188580512764077
452.0,0.2088,0.20682624772175043,0.20334445083531616,0.2121,-0.8755549164683851,0.21,0.2053376116688018,0.2,0.31711660859098756,0.03299888711721636,-0.0076061505087855336,0.33444508353161484
