t_s,h1_meas_m,h2_est_m,h2_real_m,error_obs_cm,h3_meas_m,ref_m,u1,u3,t_mhe_ms,t_mpc_ms,t_total_ms,error_ctrl_cm
406.0,0.2088,0.19761275659489688,0.2019,-0.4287243405103114,0.2134,0.2,0.40932579595491114,0.030654099737502428,25.920867919921875,10.796070098876953,2071.439027786255,-0.23872434051031288
408.0,0.2054,0.19868524232147025,0.2085,-0.981475767852974,0.2102,0.2,0.39701678243635113,0.030897279985060516,6.544589996337891,10.80775260925293,2066.5082931518555,-0.131475767852976
410.0,0.2054,0.19918666620663733,0.2085,-0.931333379336266,0.2068,0.2,0.38425355648708304,0.03029877505164663,6.993293762207031,10.692119598388672,2079.4949531555176,-0.08133337933626805
412.0,0.2088,0.19969564661857522,0.2085,-0.8804353381424768,0.2068,0.2,0.39502780467495235,0.03146277217285439,9.216785430908203,8.641719818115234,2072.3092555999756,-0.030435338142478785
414.0,0.1987,0.19950310696382534,0.2019,-0.23968930361746577,0.2134,0.2,0.39964700137472753,0.03159915951306052,23.84352684020996,11.502265930175781,2117.811441421509,-0.04968930361746726
416.0,0.2053,0.19948317638936236,0.2085,-0.9016823610637631,0.2068,0.2,0.44957579500053496,0.03532943049706166,6.974935531616211,10.469436645507812,2103.332281112671,-0.051682361063765114
418.0,0.1987,0.19839507246477223,0.2019,-0.350492753522777,0.1968,0.2,0.45146341072322405,0.034309022016904014,7.220745086669922,9.076356887817383,2100.2111434936523,-0.16049275352277848
420.0,0.2054,0.19837519342344856,0.1917,0.667519342344855,0.2034,0.2,0.4843087600688805,0.036717966776343224,7.366657257080078,9.553670883178711,2106.9836616516113,-0.1624806576551452
422.0,0.1987,0.19752488820585293,0.1985,-0.09751117941470822,0.1968,0.2,0.5608353579694834,0.041898023555946975,6.936311721801758,11.712074279785156,2109.0457439422607,-0.24751117941470835
424.0,0.1919,0.19577307908013522,0.1917,0.4073079080135211,0.1867,0.2,0.6430688953686694,0.04646880262118113,6.839275360107422,11.301755905151367,2107.450008392334,-0.42269209198647906
426.0,0.1919,0.19391401921205154,0.1917,0.22140192120515267,0.1767,0.2,0.6277418383361811,0.043276334399388584,7.00688362121582,9.19032096862793,2111.1226081848145,-0.6085980787948475
428.0,0.1952,0.19402730603508478,0.1985,-0.4472693964915231,0.2002,0.2,0.5781038259102123,0.03958109202508156,6.050825119018555,9.956121444702148,2107.257127761841,-0.5972693964915232
430.0,0.1987,0.19481387191830069,0.2019,-0.7086128081699311,0.2034,0.2,0.5197641104580288,0.03618853391090926,28.20420265197754,12.288570404052734,2116.783618927002,-0.5186128081699326
432.0,0.2021,0.19598057402383495,0.2085,-1.251942597616504,0.2066,0.2,0.4393214052880462,0.03137106350152425,10.526180267333984,10.08462905883789,2059.892416000366,-0.40194259761650586
434.0,0.2088,0.19783354329601058,0.2121,-1.4266456703989432,0.2134,0.2,0.40929354589511907,0.031021572625314506,29.579639434814453,14.765501022338867,2088.5565280914307,-0.21664567039894334
436.0,0.2054,0.19867317620923208,0.2085,-0.9826823790767908,0.2068,0.2,0.40033362664760314,0.031186339929892396,58.77041816711426,10.714292526245117,2110.7630729675293,-0.1326823790767928
438.0,0.2054,0.19914192903628147,0.2087,-0.9558070963718523,0.2068,0.2,0.3868921786373158,0.03042906934450813,80.86752891540527,10.945558547973633,2101.6478538513184,-0.0858070963718538
440.0,0.2088,0.1996516435477705,0.2085,-0.8848356452229478,0.2068,0.2,0.39696848537335705,0.03154624363234015,148.27322959899902,13.392210006713867,2142.244338989258,-0.034835645222949796
442.0,0.1987,0.19946362734414863,0.2019,-0.24363726558513654,0.2134,0.2,0.4015280741676326,0.03169455457827043,6.555318832397461,10.821104049682617,1962.9549980163574,-0.05363726558513804
444.0,0.2054,0.19942714676835585,0.2087,-0.9272853231644146,0.2068,0.2,0.45162812016314874,0.035441232264369134,6.99615478515625,10.937213897705078,2106.4488887786865,-0.057285323164416035
446.0,0.1987,0.1983306302791333,0.2019,-0.35693697208666886,0.1968,0.2,0.4534893505198907,0.03441504904312021,6.813287734985352,10.132074356079102,2106.5173149108887,-0.16693697208667035
448.0,0.2053,0.19831319554230842,0.1951,0.32131955423084224,0.2034,0.2,0.4849106896377335,0.03671357651086622,6.360054016113281,8.709192276000977,2104.8500537872314,-0.1686804457691593
450.0,0.1987,0.19750638479769314,0.1985,-0.0993615202306869,0.1968,0.2,0.5602143454772655,0.04183025527103954,7.879734039306641,10.381221771240234,2117.335557937622,-0.24936152023068703
452.0,0.1919,0.19578835716287066,0.1917,0.40883571628706483,0.1867,0.2,0.6419866073480843,0.046394702923953944,8.322954177856445,10.79106330871582,2106.7323684692383,-0.42116428371293535
454.0,0.1919,0.1939434061152439,0.1917,0.2243406115243901,0.1767,0.2,0.6268003941447611,0.04322707728816921,21.21877670288086,10.842561721801758,2120.26047706604,-0.6056593884756101
456.0,0.1952,0.1940542852029209,0.1985,-0.44457147970791144,0.2002,0.2,0.5780597916711617,0.03960114282381263,7.083654403686523,10.20359992980957,2091.157913208008,-0.5945714797079116
458.0,0.1987,0.19481580119339362,0.2019,-0.7084198806606379,0.2034,0.2,0.5434109105150432,0.03802144458233876,7.963895797729492,9.969472885131836,2087.415933609009,-0.5184198806606394
460.0,0.2021,0.19550073291318104,0.2087,-1.3199267086818955,0.1968,0.2,0.4590069027124555,0.032354867983587825,8.82101058959961,11.658906936645508,2094.399929046631,-0.449926708681897
462.0,0.2088,0.19744954912352114,0.2019,-0.44504508764788564,0.2134,0.2,0.41338919463148405,0.030840309012207346,332.41987228393555,5.697727203369141,2379.0390491485596,-0.25504508764788714
464.0,0.2054,0.19856343851320268,0.2087,-1.0136561486797313,0.21,0.2,0.39996819915390663,0.0310232038691153,27.646780014038086,6.992101669311523,1786.9887351989746,-0.14365614867973275
466.0,0.2054,0.1990967554938257,0.2085,-0.9403244506174302,0.2068,0.2,0.3782472712990388,0.029758374858380433,166.32914543151855,10.47372817993164,2207.93080329895,-0.09032445061743222
468.0,0.2088,0.1998022667670419,0.2121,-1.2297733232958103,0.21,0.2,0.402389246940812,0.03215483856696147,25.58445930480957,11.331796646118164,1946.0694789886475,-0.019773323295810274
470.0,0.2021,0.19937702550524014,0.2051,-0.5722974494759864,0.2034,0.2,0.4443575343465472,0.034893130071438724,158.66708755493164,11.914253234863281,2232.9113483428955,-0.06229744947598703
472.0,0.1952,0.19848108417449603,0.1951,0.3381084174496035,0.2068,0.2,0.4666656484572359,0.035625519032443265,30.043363571166992,11.74306869506836,1984.1811656951904,-0.15189158255039803
474.0,0.2021,0.1979943623740426,0.2019,-0.39056376259573866,0.2,0.2,0.5301413915908796,0.03995976338997691,22.56011962890625,14.526605606079102,2101.2802124023438,-0.20056376259574016
476.0,0.1919,0.196467770417273,0.1951,0.1367770417273012,0.1934,0.2,0.559775463598759,0.04076380695689038,1.7161369323730469,13.53764533996582,2085.8256816864014,-0.35322295827270034
478.0,0.1952,0.19570946357040972,0.1983,-0.25905364295902844,0.1968,0.2,0.5113097703165911,0.0361663682175185,25.410175323486328,9.251594543457031,2119.4310188293457,-0.42905364295902915
480.0,0.2054,0.19661482358022556,0.2085,-1.1885176419774435,0.2068,0.2,0.5048955111885427,0.036718967364136566,73.15969467163086,10.040760040283203,2163.8991832733154,-0.3385176419774455
482.0,0.1987,0.19658551942866825,0.2019,-0.5314480571331742,0.2002,0.2,0.49372533946781333,0.03607226026275638,105.97872734069824,13.116121292114258,2107.119083404541,-0.3414480571331757
484.0,0.2053,0.1969295845605861,0.2087,-1.1770415439413902,0.1968,0.2,0.4806014454676965,0.03532932173466725,5.056858062744141,12.39323616027832,2006.6356658935547,-0.3070415439413915
486.0,0.2021,0.1972687810259186,0.2051,-0.78312189740814,0.2034,0.2,0.45827089736218574,0.033925918792102674,7.4939727783203125,9.777069091796875,2076.7083168029785,-0.27312189740814063
488.0,0.1987,0.19775388478459546,0.2119,-1.4146115215404542,0.2134,0.2,0.4134447098030297,0.03098786767912852,6.90007209777832,10.216474533081055,2046.6523170471191,-0.22461152154045483
490.0,0.2087,0.1988209884484454,0.2121,-1.3279011551554616,0.21,0.2,0.3867588924708774,0.030009622566370554,6.628513336181641,10.083913803100586,2075.124740600586,-0.11790115515546151
492.0,0.2088,0.19952765114518747,0.2085,-0.8972348854812517,0.2068,0.2,0.3660129178683112,0.02911686008286263,6.906986236572266,8.809089660644531,2057.6858520507812,-0.04723488548125376
494.0,0.2088,0.2001352635486772,0.2121,-1.1964736451322815,0.21,0.2,0.39370278922201535,0.031791001456379774,7.028102874755859,10.553598403930664,2087.928056716919,0.01352635486771836
496.0,0.2021,0.1996312318236733,0.2053,-0.5668768176326722,0.2034,0.2,0.43814398255834197,0.034637559366338826,6.547451019287109,11.019229888916016,2106.8673133850098,-0.036876817632672254
498.0,0.1952,0.1986787828650172,0.1951,0.35787828650171993,0.2068,0.2,0.46312066265148805,0.035513192600813905,5.74946403503418,7.3833465576171875,2105.32546043396,-0.1321217134982816
500.0,0.2021,0.19811292052765586,0.2019,-0.3787079472344135,0.2,0.2,0.5281374033736066,0.03990085998421343,6.866216659545898,10.837554931640625,2109.4419956207275,-0.18870794723441497
502.0,0.1919,0.19654378015067747,0.1951,0.1443780150677476,0.1934,0.2,0.5701792947758657,0.04164483749307382,6.316423416137695,11.890649795532227,2107.9938411712646,-0.34562198493225393
504.0,0.1919,0.19547877119275278,0.1983,-0.28212288072472225,0.1968,0.2,0.5644835244507285,0.04007501319192983,6.942510604858398,7.416248321533203,2101.8378734588623,-0.45212288072472295
506.0,0.2021,0.19547007454442808,0.2051,-0.9629925455571925,0.1935,0.2,0.5114180899315954,0.03596583488974752,6.191492080688477,8.869647979736328,2101.1106967926025,-0.45299254555719315
508.0,0.2088,0.19653579016477157,0.1983,-0.17642098352284308,0.2,0.2,0.46329578364216284,0.03345732204364173,6.671667098999023,10.248422622680664,2095.580816268921,-0.3464209835228438
